"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 7.0","Reference","Africa_Eastern","Agricultural Demand","million t DM/yr",61.2987960270402,73.7048769464314,86.1125770953202,97.8069568512346,111.205479591759,126.905984693912,143.908159423812,162.359509315327,182.375461274198,203.946964877969,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Africa_Northern","Agricultural Demand","million t DM/yr",81.8918519890312,103.683502371475,122.551763859227,134.765698362916,146.634700808473,159.728417906827,171.803820727363,183.121043541869,193.433695627646,202.64700150202,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Africa_Southern","Agricultural Demand","million t DM/yr",39.0161286963304,49.2383571970606,58.7387265382641,65.9680249578467,75.2367034508653,86.0090525414957,97.4389008448968,110.222824725934,124.374108796839,139.760280935592,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Africa_Western","Agricultural Demand","million t DM/yr",142.690902817593,172.387692608182,215.715619561908,242.973886196113,275.352511942138,316.792831618023,362.435578093237,412.233038127848,465.957860371513,523.029733825167,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Argentina","Agricultural Demand","million t DM/yr",27.1117910680325,29.3476384910942,48.0544120459911,49.470673373022,52.3287157870443,54.8316722014684,57.0409671927368,59.1405612455125,61.2699038991934,63.5357489280636,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Australia_NZ","Agricultural Demand","million t DM/yr",25.9432205912055,29.127003573079,31.6036108418986,35.5306208058237,39.2144248162521,42.3668014447281,45.5379899668502,49.2372878360285,53.2214194308641,56.8529088222216,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Brazil","Agricultural Demand","million t DM/yr",209.393326400093,262.716065736195,275.103687094944,293.736180363885,308.306767703333,322.479531408643,335.405006027371,363.166759549729,406.501655621549,448.595712935924,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Canada","Agricultural Demand","million t DM/yr",37.0096709833219,39.5429034695342,46.2986318773025,52.0160740935941,55.5220486720009,58.1417030582807,61.2168136025384,66.1449322568644,71.9335977894338,76.7699544940041,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Central America and Caribbean","Agricultural Demand","million t DM/yr",42.3747894578611,41.8418453805384,44.9471008551428,47.6892551273946,51.0096821734562,54.7887154578465,58.9979739497712,64.3114611309397,71.0563332405661,78.3088242272607,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Central Asia","Agricultural Demand","million t DM/yr",40.4975320355237,47.7533787959239,56.4631914507426,60.7029886444878,64.7989843450075,68.6747892409372,72.0732342739893,75.2542883026618,78.1357697619293,80.303891077039,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","China","Agricultural Demand","million t DM/yr",758.268544993367,915.271976271041,1068.59169679943,1146.5111230544,1214.27883468698,1263.31649901444,1291.2326973136,1305.2013863489,1307.65009348855,1299.19453434611,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Colombia","Agricultural Demand","million t DM/yr",24.5431627761866,25.6460073068204,30.0581173511438,32.8029063049985,35.7072375132625,38.4592975298394,41.4390332881591,44.7746638255521,48.1539063177434,51.1233433363094,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","EU-12","Agricultural Demand","million t DM/yr",88.2155407550761,86.5218197366911,88.7072141053514,93.9685253133187,96.5966003184425,98.6765540689556,100.086191934329,102.061733712337,104.661251334234,107.253204592025,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","EU-15","Agricultural Demand","million t DM/yr",336.039061590933,359.021104618303,381.342689890902,400.40296848012,413.960042336866,425.460178086968,434.781700468651,451.903015855107,480.086250036,507.529849397813,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Europe_Eastern","Agricultural Demand","million t DM/yr",52.9212529889719,57.0676161630421,55.7061217528935,56.7452258218454,57.5698753610265,58.560715790589,59.4026973451847,60.2132236620864,60.8429027766695,61.3257518241662,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Europe_Non_EU","Agricultural Demand","million t DM/yr",69.9232724110124,75.2179007732054,85.7987910922437,91.4019702398889,96.8429766028419,101.873144424829,106.366756445211,110.80345851458,115.031360126505,118.732724412774,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","European Free Trade Association","Agricultural Demand","million t DM/yr",6.73527189793088,7.24596789944585,8.05045264009671,8.51282175473001,9.06067251703294,9.42964482236365,9.78269553683872,10.448514860726,11.5037899951431,12.4976484054277,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","India","Agricultural Demand","million t DM/yr",383.825514331413,456.681384148448,513.371729042826,576.48153668119,641.410309884444,700.291440739519,755.453183512492,808.158788851251,856.530522732743,897.969109900025,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Indonesia","Agricultural Demand","million t DM/yr",131.432297885939,164.257259309386,191.55550752121,221.681393536583,250.35370628287,282.448222624096,312.726753432453,348.014104216677,384.828194557352,415.615140584095,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Japan","Agricultural Demand","million t DM/yr",60.6225506353401,59.0966515345503,59.093944466882,60.8068306251678,60.6345919254037,60.3284234912234,59.6916462827712,59.6499470819369,64.5734873260675,68.1755725385267,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Mexico","Agricultural Demand","million t DM/yr",73.3956704467264,71.5478147304166,78.320591670352,83.3864385297932,88.9092393635105,94.5959848434513,99.7344943955274,104.743375368106,109.819538875366,114.577847155844,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Middle East","Agricultural Demand","million t DM/yr",98.1326783308367,111.151677663897,137.20509493751,150.808437732664,165.369340536349,182.932174177609,200.751630979092,219.558570224498,238.606313609396,256.407759354572,0,0,0,0,0,0,0,0,0,0
