"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 7.1","Reference","Africa_Eastern","Agricultural Demand","million t DM/yr",60.0941214553735,71.7984625910703,83.3449665748073,94.5939365784238,107.55562749855,122.782288326589,139.303138396414,157.33544498816,176.921044205121,197.968985234468,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Africa_Northern","Agricultural Demand","million t DM/yr",80.3071309496935,101.925965494725,119.036738181607,131.174242795213,143.066933954882,156.103405302354,168.227601558265,179.552039030625,189.89991512721,199.137452673956,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Africa_Southern","Agricultural Demand","million t DM/yr",38.7431077836879,46.9287050846177,54.6668350676378,61.4064422722822,70.0951485774249,80.2510298488516,91.0456296582459,103.185870918457,116.770315952201,131.641495899672,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Africa_Western","Agricultural Demand","million t DM/yr",139.648588410073,170.884107388329,207.646946111749,233.91818739792,265.347966643652,305.607295384589,349.893270469372,398.400233719197,450.924640743943,506.943707982369,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Argentina","Agricultural Demand","million t DM/yr",26.5321134579822,31.1683030924719,44.5287907006802,46.0150947629494,48.8334421699314,51.3414334379247,53.5833676506577,55.7115564247337,57.8152422723077,59.9956349458959,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Australia_NZ","Agricultural Demand","million t DM/yr",28.0546008781087,28.1888498878781,31.0171494732693,35.0676646046851,38.8527086392383,42.1661007104888,45.127975507272,48.9752688950059,53.1778360692201,57.0816730099776,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Brazil","Agricultural Demand","million t DM/yr",205.165846969996,260.213352494238,270.484766528291,287.782505696124,302.881300814174,316.889139620785,327.635963955214,351.439127704349,389.95534779018,426.226152722896,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Canada","Agricultural Demand","million t DM/yr",36.5697823391338,39.015906023569,42.7577653777503,48.4849657114718,52.1104692689211,54.8972935791193,58.0098007210868,62.9992059878154,68.833524376311,73.6707552048976,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Central America and Caribbean","Agricultural Demand","million t DM/yr",42.1915541551745,41.8446811243108,44.493457566443,47.1994237586549,50.6063168902394,54.4470234108891,58.7047518606248,63.9003804524583,70.2008109725466,76.7510277884096,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Central Asia","Agricultural Demand","million t DM/yr",39.8550241717643,47.9397907444264,52.8998438486722,57.3741499737334,61.5830293049851,65.4965114612266,69.0328809107568,72.3953881307666,75.4911578302036,77.8562165482669,0,0,0,0,0,0,0,0,0,0
