# Prices by sector
sector,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
alumina,NoReported,,,,,,,,1
aluminum,NoReported,,,,,,,,1
Beef,NoReported,,,,,,,,1
biomass,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
cement,NoReported,,,,,,,,1
Corn,NoReported,,,,,,,,1
Dairy,NoReported,,,,,,,,1
FeedCrops,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
FiberCrop,NoReported,,,,,,,,1
FodderGrass,NoReported,,,,,,,,1
FodderHerb,NoReported,,,,,,,,1
FodderHerb_Residue,NoReported,,,,,,,,1
Forest,NoReported,,,,,,,,1
Fruits,NoReported,,,,,,,,1
iron and steel,NoReported,,,,,,,,1
Legumes,NoReported,,,,,,,,1
MiscCrop,NoReported,,,,,,,,1
NonFoodDemand_Crops,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
NonFoodDemand_Meat,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Livestock [Index],,,,,,,1
NutsSeeds,NoReported,,,,,,,,1
OilCrop,NoReported,,,,,,,,1
OilPalm,NoReported,,,,,,,,1
OtherGrain,NoReported,,,,,,,,1
OtherMeat_Fish,NoReported,,,,,,,,1
paper,NoReported,,,,,,,,1
Pasture,NoReported,,,,,,,,1
Pasture_FodderGrass,NoReported,,,,,,,,1
Pork,NoReported,,,,,,,,1
Poultry,NoReported,,,,,,,,1
regional beef,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Livestock [Index],,,,,,,1
regional biomass,Price|Agriculture|Energy crops,,,,,,,,
regional biomassOil,Price|Agriculture|Energy crops,,,,,,,,
regional corn,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],Price|Agriculture|Food Products|Crops|Maize [Index],,,,,,1
regional dairy,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Livestock [Index],,,,,,,1
regional fibercrop,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
regional fruits,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
regional iron and steel,NoReported,,,,,,,,1
regional legumes,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
regional misccrop,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
regional nuts_seeds,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
regional oil,Price|Agriculture|Energy crops,,,,,,,,1
regional oilcrop,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
regional oilpalm,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
regional othergrain,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
regional pork,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Livestock [Index],,,,,,,1
regional poultry,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Livestock [Index],,,,,,,1
regional rice,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],Price|Agriculture|Food Products|Crops|Rice [Index],,,,,,1
regional root_tuber,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
regional sheepgoat,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Livestock [Index],,,,,,,1
regional soybean,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],Price|Agriculture|Food Products|Crops|Soybean [Index],,,,,,1
regional sugar for ethanol,Price|Agriculture|Energy crops,,,,,,,,
regional sugarcrop,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
regional vegetables,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,,,,,,1
regional wheat,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],Price|Agriculture|Food Products|Crops|Wheat [Index],,,,,,1
Rice,NoReported,,,,,,,,1
RootTuber,NoReported,,,,,,,,1
Scavenging_Other,NoReported,,,,,,,,1
SheepGoat,NoReported,,,,,,,,1
Soybean,NoReported,,,,,,,,1
SugarCrop,NoReported,,,,,,,,1
Vegetables,NoReported,,,,,,,,1
Wheat,NoReported,,,,,,,,1
