# nonCO2 emissions by sector,,,,,,,,,,
ghg,resource,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
BC,crude oil,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
BC,natural gas,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
CH4,coal,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
CH4,crude oil,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
CH4,natural gas,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
OC,crude oil,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
OC,natural gas,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
CO,coal,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
CO,crude oil,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
CO,natural gas,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
N2O,coal,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
N2O,crude oil,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
N2O,natural gas,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
NH3,coal,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
NMVOC,coal,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
NMVOC,crude oil,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
NMVOC,natural gas,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
NOx,coal,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
NOx,crude oil,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
NOx,natural gas,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
SO2_1,crude oil,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
SO2_1,natural gas,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
SO2_2,crude oil,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
SO2_2,natural gas,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
SO2_3,crude oil,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
SO2_3,natural gas,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
SO2_4,crude oil,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
SO2_4,natural gas,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,,1
