# Water withdrawals by subsector,,,,,
sector,subsector,var1,var2,var3,unit_conv
Beef,Mixed,Water Withdrawal,Water Withdrawal|Livestock,,1
Beef,Pastoral,Water Withdrawal,Water Withdrawal|Livestock,,1
biomass,biomassGrass_AfrCstE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AfrCstNE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_CongoR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_LChad,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Madagascar,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_NileR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_RiftValley,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_ShebJubR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_AfrCstE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_AfrCstNE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_CongoR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Madagascar,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_NileR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_RiftValley,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ShebJubR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AfrCstNW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AfrIntN,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_MeditE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_MeditS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_SinaiP,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_AfrCstNW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_AfrIntN,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_MeditS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AfrCstS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AfrCstSE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AfrCstSW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AfrIntS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
