# CO2 Sequestration
sector,technology,var1,var2,var3,var4,var5,var6,var7,var8,var9,unit_conv
alumina,biomass CCS,Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Bioenergy,,Carbon Capture,Carbon Capture|Geological Storage,,,,3.666667
alumina,coal CCS,Carbon Capture,Carbon Capture|Geological Storage,,,,,,,,3.666667
alumina,gas CCS,Carbon Capture,Carbon Capture|Geological Storage,,,,,,,,3.666667
alumina,refined liquids CCS,Carbon Capture,Carbon Capture|Geological Storage,,,,,,,,3.666667
chemical feedstocks,refined liquids,Carbon Capture,Carbon Capture|Utilization,,,,,,,,3.666667
construction feedstocks,refined liquids,Carbon Capture,Carbon Capture|Utilization,,,,,,,,3.666667
iron and steel,BLASTFUR CCS,Carbon Capture,Carbon Capture|Geological Storage,,,,,,,,3.666667
other industrial feedstocks,refined liquids,Carbon Capture,Carbon Capture|Utilization,,,,,,,,3.666667
cement,cement CCS,Carbon Capture,Carbon Capture|Geological Storage,,,,,,,,3.666667
chemical energy use,biomass CCS,Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Bioenergy,,Carbon Capture,Carbon Capture|Geological Storage,,,,3.666667
chemical energy use,coal CCS,Carbon Capture,Carbon Capture|Geological Storage,,,,,,,,3.666667
chemical energy use,gas CCS,Carbon Capture,Carbon Capture|Geological Storage,,,,,,,,3.666667
chemical energy use,refined liquids CCS,Carbon Capture,Carbon Capture|Geological Storage,,,,,,,,3.666667
CO2 removal,hightemp DAC NG,Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Direct Air Capture,,,,,,,3.666667
CO2 removal,hightemp DAC elec,Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Direct Air Capture,,,,,,,3.666667
CO2 removal,lowtemp DAC heatpump,Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Direct Air Capture,,,,,,,3.666667
elec_biomass (conv CCS),biomass (conv CCS) (dry cooling),Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Bioenergy,,Carbon Capture,Carbon Capture|Geological Storage,,,,3.666667
elec_biomass (conv CCS),biomass (conv CCS) (once through),Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Bioenergy,,Carbon Capture,Carbon Capture|Geological Storage,,,,3.666667
elec_biomass (conv CCS),biomass (conv CCS) (recirculating),Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Bioenergy,,Carbon Capture,Carbon Capture|Geological Storage,,,,3.666667
